bi2-ib2-sar-e-a	3-NH.L2.3-SG-NH-P.V.3-SG-A.SUB.GEN	1
bi2-ib2-ur3-a	3-NH.L2.3-SG-NH-P.V.3-SG-A.SUB	2
bi2-ib2-ur3-a	3-NH.L2.3-SG-NH-P.V.3-SG-A.SUB.ABS	1
bi2-ib2-ur3-re-a	3-NH.L2.3-SG-NH-P.V.3-SG-A.SUB	1
bi2-in-gi4	3-NH.L2.3-SG-H-A.V.3-SG-P	1
bi2-in-ur3	3-NH.L2.3-SG-H-P.V.3-SG-A.SUB.ABS	1
bi2-in-us2	3-NH.L3.3-SG-H-A.V.3-SG-P	1
bi2-silim	3-NH.L3.3-SG-H-A.V.3-SG-P	1
bi2-tam	3-NH.L2.3-SG-H-A.V.3-SG-P	1
bi-da-...		1
bur-ba	N.DEM2.GEN	1
bur-ma-ma	PN	1
bur	N	1
bu-u2-za-a	PN	1
da-a-a-...	PN	1
da-a-a-ti	PN	1
dab5-ba	N	1
da-da-a	PN	1
da-da-ga	PN	3
da-da-ga	PN.GEN.ABS	2
da-da	PN	9
da-da	PN.GEN.ABS	3
dagal-e-de3	NF.V.PF.DAT-NH	1
dam-a-ni-ir	N.3-SG-H-POSS.DAT-H	1
{d}amar-{d}suen-ka-ka	RN.GEN.L1	1
{d}amar-{d}suen-ka	RN.GEN.ABS	1
{d}amar-{d}suen-ke4	RN.GEN.ERG	2
{d}amar-{d}suen	RN	55
{d}amar-{d}suen	RN.GEN.ABS	2
dam-gar3-ke4	N.GEN.ERG	1
dam-gar3	N.GEN.ABS	1
dam	N	11
dam-ni	N.3-SG-H-POSS.ABS	1
dam-szi-lum-bi	N.3-SG-NH-POSS.ABS	2
da-na	N	1
dan-ni-a	PN	1
da-num2	PN	1
da-...	PN	1
da-ra-am-uri5{ki}-am	PN	1
da-ra-am-uri5{ki}	Taramurim.GEN.ABS	1
da-wa-a-x	PN	1
da-x-x-za-ti-da	PN	1
{d}ba-ba6	DN	3
{d}ba-ba6-eb2-gu-ul	PN	1
{d}ba-ba6-nin-am3	PN	1
{d}be-la-at-szer7-ba-an	DN	1
{d}dam-gal-nun-na	DN	1
{d}en-ki	DN	4
{d}en-ki	DN.GEN	1
{d}en-lil2-a2-mah	PN	1
{d}en-lil2-ba-ni	RN	1
{d}en-lil2-dingir-zu	PN.GEN.ABS	1
{d}en-lil2	DN	11
{d}en-lil2	DN.GEN	3
{d}en-lil2	DN.GEN.GEN.ABS	1
{d}en-lil2-ka	DN.GEN.GEN	11
{d}en-lil2-la2	DN.ERG	1
{d}en-lil2-la2	DN.GEN	26
{d}en-lil2-la2	DN.GEN.ABS	5
{d}en-lil2-la2	DN.GEN.GEN.ABS	1
